Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM	R1_target_file	R2_target_file
I15029	I15029_ERS8208402	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I15029_ERS8208402_L1_R1.fastq.gz	NA	NA	ERR7195107.fastq.gz	NA
I15046	I15046_ERS8208429	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I15046_ERS8208429_L1_R1.fastq.gz	NA	NA	ERR7195134.fastq.gz	NA
I15035	I15035_ERS8208413	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I15035_ERS8208413_L1_R1.fastq.gz	NA	NA	ERR7195118.fastq.gz	NA
I15034	I15034_ERS8208412	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I15034_ERS8208412_L1_R1.fastq.gz	NA	NA	ERR7195117.fastq.gz	NA
I14857_ss	I14857_ss_ERS8208361_ss	1	4	SE	Homo sapiens (modern human)	single	half	<PATH_TO_DATA>/I14857_ss_ERS8208361_ss_L1_R1.fastq.gz	NA	NA	ERR7195066.fastq.gz	NA
I14857_ss	I14857_ss_ERS8208362_ss	1	4	SE	Homo sapiens (modern human)	single	half	<PATH_TO_DATA>/I14857_ss_ERS8208362_ss_L1_R1.fastq.gz	NA	NA	ERR7195067.fastq.gz	NA
I14858_ss	I14858_ss_ERS8208363_ss	1	4	SE	Homo sapiens (modern human)	single	half	<PATH_TO_DATA>/I14858_ss_ERS8208363_ss_L1_R1.fastq.gz	NA	NA	ERR7195068.fastq.gz	NA
I16396_ss	I16396_ss_ERS8208558_ss	1	4	SE	Homo sapiens (modern human)	single	half	<PATH_TO_DATA>/I16396_ss_ERS8208558_ss_L1_R1.fastq.gz	NA	NA	ERR7195263.fastq.gz	NA
I14807_ss	I14807_ss_ERS8208354_ss	1	4	SE	Homo sapiens (modern human)	single	half	<PATH_TO_DATA>/I14807_ss_ERS8208354_ss_L1_R1.fastq.gz	NA	NA	ERR7195059.fastq.gz	NA
I14808_ss	I14808_ss_ERS8208355_ss	1	4	SE	Homo sapiens (modern human)	single	half	<PATH_TO_DATA>/I14808_ss_ERS8208355_ss_L1_R1.fastq.gz	NA	NA	ERR7195060.fastq.gz	NA
I14837	I14837_ERS8208359	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I14837_ERS8208359_L1_R1.fastq.gz	NA	NA	ERR7195064.fastq.gz	NA
I14809_ss	I14809_ss_ERS8208358_ss	1	4	SE	Homo sapiens (modern human)	single	half	<PATH_TO_DATA>/I14809_ss_ERS8208358_ss_L1_R1.fastq.gz	NA	NA	ERR7195063.fastq.gz	NA
I14806_ss	I14806_ss_ERS8208351_ss	1	4	SE	Homo sapiens (modern human)	single	half	<PATH_TO_DATA>/I14806_ss_ERS8208351_ss_L1_R1.fastq.gz	NA	NA	ERR7195056.fastq.gz	NA
I14809_ss	I14809_ss_ERS8208357_ss	1	4	SE	Homo sapiens (modern human)	single	half	<PATH_TO_DATA>/I14809_ss_ERS8208357_ss_L1_R1.fastq.gz	NA	NA	ERR7195062.fastq.gz	NA
I14808_ss	I14808_ss_ERS8208356_ss	1	4	SE	Homo sapiens (modern human)	single	half	<PATH_TO_DATA>/I14808_ss_ERS8208356_ss_L1_R1.fastq.gz	NA	NA	ERR7195061.fastq.gz	NA
I14807_ss	I14807_ss_ERS8208353_ss	1	4	SE	Homo sapiens (modern human)	single	half	<PATH_TO_DATA>/I14807_ss_ERS8208353_ss_L1_R1.fastq.gz	NA	NA	ERR7195058.fastq.gz	NA
I14837	I14837_ERS8208360	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I14837_ERS8208360_L1_R1.fastq.gz	NA	NA	ERR7195065.fastq.gz	NA
I16599	I16599_ERS8208671	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I16599_ERS8208671_L1_R1.fastq.gz	NA	NA	ERR7195376.fastq.gz	NA
I14806_ss	I14806_ss_ERS8208352_ss	1	4	SE	Homo sapiens (modern human)	single	half	<PATH_TO_DATA>/I14806_ss_ERS8208352_ss_L1_R1.fastq.gz	NA	NA	ERR7195057.fastq.gz	NA
I14862_ss	I14862_ss_ERS8208371_ss	1	4	SE	Homo sapiens (modern human)	single	half	<PATH_TO_DATA>/I14862_ss_ERS8208371_ss_L1_R1.fastq.gz	NA	NA	ERR7195076.fastq.gz	NA
I14863_ss	I14863_ss_ERS8208373_ss	1	4	SE	Homo sapiens (modern human)	single	half	<PATH_TO_DATA>/I14863_ss_ERS8208373_ss_L1_R1.fastq.gz	NA	NA	ERR7195078.fastq.gz	NA
I14861_ss	I14861_ss_ERS8208370_ss	1	4	SE	Homo sapiens (modern human)	single	half	<PATH_TO_DATA>/I14861_ss_ERS8208370_ss_L1_R1.fastq.gz	NA	NA	ERR7195075.fastq.gz	NA
I14863_ss	I14863_ss_ERS8208374_ss	1	4	SE	Homo sapiens (modern human)	single	half	<PATH_TO_DATA>/I14863_ss_ERS8208374_ss_L1_R1.fastq.gz	NA	NA	ERR7195079.fastq.gz	NA
I14864_ss	I14864_ss_ERS8208375_ss	1	4	SE	Homo sapiens (modern human)	single	half	<PATH_TO_DATA>/I14864_ss_ERS8208375_ss_L1_R1.fastq.gz	NA	NA	ERR7195080.fastq.gz	NA
I14862_ss	I14862_ss_ERS8208372_ss	1	4	SE	Homo sapiens (modern human)	single	half	<PATH_TO_DATA>/I14862_ss_ERS8208372_ss_L1_R1.fastq.gz	NA	NA	ERR7195077.fastq.gz	NA
I14865_ss	I14865_ss_ERS8208377_ss	1	4	SE	Homo sapiens (modern human)	single	half	<PATH_TO_DATA>/I14865_ss_ERS8208377_ss_L1_R1.fastq.gz	NA	NA	ERR7195082.fastq.gz	NA
I14864_ss	I14864_ss_ERS8208376_ss	1	4	SE	Homo sapiens (modern human)	single	half	<PATH_TO_DATA>/I14864_ss_ERS8208376_ss_L1_R1.fastq.gz	NA	NA	ERR7195081.fastq.gz	NA
I14865_ss	I14865_ss_ERS8208378_ss	1	4	SE	Homo sapiens (modern human)	single	half	<PATH_TO_DATA>/I14865_ss_ERS8208378_ss_L1_R1.fastq.gz	NA	NA	ERR7195083.fastq.gz	NA
I11154	I11154_ERS8207913	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I11154_ERS8207913_L1_R1.fastq.gz	NA	NA	ERR7194618.fastq.gz	NA
