Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM	R1_target_file	R2_target_file
I26894	I26894_I26894	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I26894_I26894_L1_R1.fastq.gz	NA	NA	ERR12121285.fastq.gz	NA
I26895	I26895_I26895	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I26895_I26895_L1_R1.fastq.gz	NA	NA	ERR12121287.fastq.gz	NA
I26897	I26897_I26897	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I26897_I26897_L1_R1.fastq.gz	NA	NA	ERR12121289.fastq.gz	NA
I27295	I27295_I27295	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I27295_I27295_L1_R1.fastq.gz	NA	NA	ERR12121291.fastq.gz	NA
I27296	I27296_I27296	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I27296_I27296_L1_R1.fastq.gz	NA	NA	ERR12121293.fastq.gz	NA
I27297	I27297_I27297	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I27297_I27297_L1_R1.fastq.gz	NA	NA	ERR12121295.fastq.gz	NA
I27298	I27298_I27298	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I27298_I27298_L1_R1.fastq.gz	NA	NA	ERR12121297.fastq.gz	NA
I28388	I28388_I28388	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I28388_I28388_L1_R1.fastq.gz	NA	NA	ERR12121299.fastq.gz	NA
I28390	I28390_I28390	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I28390_I28390_L1_R1.fastq.gz	NA	NA	ERR12121301.fastq.gz	NA
I28392	I28392_I28392	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I28392_I28392_L1_R1.fastq.gz	NA	NA	ERR12121303.fastq.gz	NA
I28393	I28393_I28393	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I28393_I28393_L1_R1.fastq.gz	NA	NA	ERR12121305.fastq.gz	NA
I28394	I28394_I28394	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I28394_I28394_L1_R1.fastq.gz	NA	NA	ERR12121307.fastq.gz	NA
I28397	I28397_I28397	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I28397_I28397_L1_R1.fastq.gz	NA	NA	ERR12121309.fastq.gz	NA
I28398	I28398_I28398	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I28398_I28398_L1_R1.fastq.gz	NA	NA	ERR12121311.fastq.gz	NA
I28400	I28400_I28400	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I28400_I28400_L1_R1.fastq.gz	NA	NA	ERR12121313.fastq.gz	NA
I28446	I28446_I28446	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I28446_I28446_L1_R1.fastq.gz	NA	NA	ERR12121315.fastq.gz	NA
I28447	I28447_I28447	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I28447_I28447_L1_R1.fastq.gz	NA	NA	ERR12121317.fastq.gz	NA
I28448	I28448_I28448	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I28448_I28448_L1_R1.fastq.gz	NA	NA	ERR12121319.fastq.gz	NA
I32298	I32298_I32298	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I32298_I32298_L1_R1.fastq.gz	NA	NA	ERR12121322.fastq.gz	NA
I32299	I32299_I32299	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I32299_I32299_L1_R1.fastq.gz	NA	NA	ERR12121324.fastq.gz	NA
